c11,c14,c15,c22,c33,c44,c45,c55,c62,c63
"[0.251658, 0.56]","[0.111083, 0.56]","[0.547311, 0.56]","[0.108755, 0.56]","[0.135573, 0.56]","[0.189059, 0.56]","[0.61538, 0.56]","[1.60049, 0.56]","[0.201802, 0.56]","[0.0820679, 0.56]"
"[0.261715, 0.57]","[0.11814, 0.57]","[0.574551, 0.57]","[0.113667, 0.57]","[0.141654, 0.57]","[0.202368, 0.57]","[0.649735, 0.57]","[1.67032, 0.57]","[0.210659, 0.57]","[0.0863619, 0.57]"
"[0.272058, 0.58]","[0.125559, 0.58]","[0.602802, 0.58]","[0.118712, 0.58]","[0.147898, 0.58]","[0.216438, 0.58]","[0.685521, 0.58]","[1.74218, 0.58]","[0.219743, 0.58]","[0.0907984, 0.58]"
"[0.282697, 0.59]","[0.133358, 0.59]","[0.632098, 0.59]","[0.123891, 0.59]","[0.154307, 0.59]","[0.231305, 0.59]","[0.72279, 0.59]","[1.81612, 0.59]","[0.229056, 0.59]","[0.0953798, 0.59]"
"[0.293643, 0.6]","[0.141554, 0.6]","[0.662476, 0.6]","[0.129208, 0.6]","[0.160881, 0.6]","[0.247011, 0.6]","[0.761595, 0.6]","[1.8922, 0.6]","[0.238599, 0.6]","[0.100108, 0.6]"
"[0.304905, 0.61]","[0.150167, 0.61]","[0.693973, 0.61]","[0.134663, 0.61]","[0.167623, 0.61]","[0.263599, 0.61]","[0.801994, 0.61]","[1.97048, 0.61]","[0.248375, 0.61]","[0.104986, 0.61]"
"[0.316496, 0.62]","[0.159215, 0.62]","[0.726627, 0.62]","[0.140257, 0.62]","[0.174536, 0.62]","[0.281114, 0.62]","[0.844046, 0.62]","[2.05101, 0.62]","[0.258386, 0.62]","[0.110015, 0.62]"
"[0.328427, 0.63]","[0.168722, 0.63]","[0.76048, 0.63]","[0.145993, 0.63]","[0.18162, 0.63]","[0.299604, 0.63]","[0.887812, 0.63]","[2.13386, 0.63]","[0.268635, 0.63]","[0.115198, 0.63]"
"[0.340711, 0.64]","[0.178707, 0.64]","[0.795575, 0.64]","[0.151872, 0.64]","[0.188878, 0.64]","[0.319121, 0.64]","[0.933358, 0.64]","[2.2191, 0.64]","[0.279124, 0.64]","[0.120536, 0.64]"
"[0.353361, 0.65]","[0.189195, 0.65]","[0.831957, 0.65]","[0.157896, 0.65]","[0.196312, 0.65]","[0.339718, 0.65]","[0.980753, 0.65]","[2.30678, 0.65]","[0.289855, 0.65]","[0.126034, 0.65]"
"[0.366392, 0.66]","[0.200211, 0.66]","[0.869672, 0.66]","[0.164067, 0.66]","[0.203924, 0.66]","[0.361453, 0.66]","[1.03007, 0.66]","[2.39699, 0.66]","[0.300832, 0.66]","[0.131692, 0.66]"
"[0.37982, 0.67]","[0.211781, 0.67]","[0.908769, 0.67]","[0.170385, 0.67]","[0.211715, 0.67]","[0.384386, 0.67]","[1.08138, 0.67]","[2.48979, 0.67]","[0.312055, 0.67]","[0.137513, 0.67]"
"[0.393659, 0.68]","[0.223932, 0.68]","[0.9493, 0.68]","[0.176854, 0.68]","[0.219689, 0.68]","[0.408582, 0.68]","[1.13477, 0.68]","[2.58527, 0.68]","[0.323529, 0.68]","[0.143499, 0.68]"
"[0.407927, 0.69]","[0.236693, 0.69]","[0.991318, 0.69]","[0.183475, 0.69]","[0.227847, 0.69]","[0.43411, 0.69]","[1.19031, 0.69]","[2.6835, 0.69]","[0.335255, 0.69]","[0.149654, 0.69]"
"[0.422643, 0.7]","[0.250096, 0.7]","[1.03488, 0.7]","[0.19025, 0.7]","[0.236192, 0.7]","[0.461042, 0.7]","[1.2481, 0.7]","[2.78458, 0.7]","[0.347236, 0.7]","[0.155979, 0.7]"
"[0.437825, 0.71]","[0.264174, 0.71]","[1.08005, 0.71]","[0.197181, 0.71]","[0.244726, 0.71]","[0.489457, 0.71]","[1.30824, 0.71]","[2.88859, 0.71]","[0.359476, 0.71]","[0.162477, 0.71]"
"[0.453494, 0.72]","[0.278961, 0.72]","[1.12688, 0.72]","[0.204269, 0.72]","[0.253451, 0.72]","[0.519437, 0.72]","[1.3708, 0.72]","[2.99562, 0.72]","[0.371977, 0.72]","[0.169151, 0.72]"
"[0.469671, 0.73]","[0.294494, 0.73]","[1.17544, 0.73]","[0.211518, 0.73]","[0.26237, 0.73]","[0.55107, 0.73]","[1.43591, 0.73]","[3.10577, 0.73]","[0.384741, 0.73]","[0.176003, 0.73]"
"[0.48638, 0.74]","[0.310813, 0.74]","[1.2258, 0.74]","[0.218928, 0.74]","[0.271486, 0.74]","[0.58445, 0.74]","[1.50367, 0.74]","[3.21916, 0.74]","[0.397773, 0.74]","[0.183037, 0.74]"
"[0.503646, 0.75]","[0.327959, 0.75]","[1.27803, 0.75]","[0.226502, 0.75]","[0.2808, 0.75]","[0.619678, 0.75]","[1.57418, 0.75]","[3.33587, 0.75]","[0.411075, 0.75]","[0.190255, 0.75]"
"[0.521495, 0.76]","[0.345977, 0.76]","[1.33221, 0.76]","[0.234242, 0.76]","[0.290316, 0.76]","[0.656861, 0.76]","[1.64758, 0.76]","[3.45603, 0.76]","[0.42465, 0.76]","[0.197659, 0.76]"
"[0.539955, 0.77]","[0.364913, 0.77]","[1.38841, 0.77]","[0.242151, 0.77]","[0.300037, 0.77]","[0.696113, 0.77]","[1.72399, 0.77]","[3.57975, 0.77]","[0.438501, 0.77]","[0.205253, 0.77]"
"[0.559055, 0.78]","[0.384819, 0.78]","[1.44671, 0.78]","[0.25023, 0.78]","[0.309965, 0.78]","[0.737559, 0.78]","[1.80355, 0.78]","[3.70715, 0.78]","[0.452632, 0.78]","[0.213041, 0.78]"
"[0.578829, 0.79]","[0.405748, 0.79]","[1.50722, 0.79]","[0.258483, 0.79]","[0.320103, 0.79]","[0.781329, 0.79]","[1.88639, 0.79]","[3.83838, 0.79]","[0.467046, 0.79]","[0.221024, 0.79]"
"[0.59931, 0.8]","[0.427756, 0.8]","[1.57001, 0.8]","[0.266911, 0.8]","[0.330455, 0.8]","[0.827564, 0.8]","[1.97266, 0.8]","[3.97355, 0.8]","[0.481748, 0.8]","[0.229207, 0.8]"
"[0.620535, 0.81]","[0.450906, 0.81]","[1.63518, 0.81]","[0.275517, 0.81]","[0.341023, 0.81]","[0.876418, 0.81]","[2.06254, 0.81]","[4.11281, 0.81]","[0.49674, 0.81]","[0.237593, 0.81]"
"[0.642545, 0.82]","[0.475263, 0.82]","[1.70284, 0.82]","[0.284303, 0.82]","[0.351812, 0.82]","[0.928053, 0.82]","[2.15617, 0.82]","[4.25632, 0.82]","[0.512026, 0.82]","[0.246185, 0.82]"
"[0.665381, 0.83]","[0.500896, 0.83]","[1.7731, 0.83]","[0.293273, 0.83]","[0.362823, 0.83]","[0.982644, 0.83]","[2.25376, 0.83]","[4.40423, 0.83]","[0.527611, 0.83]","[0.254987, 0.83]"
"[0.68909, 0.84]","[0.52788, 0.84]","[1.84606, 0.84]","[0.302429, 0.84]","[0.374062, 0.84]","[1.04038, 0.84]","[2.35547, 0.84]","[4.55669, 0.84]","[0.543498, 0.84]","[0.264003, 0.84]"
"[0.71372, 0.85]","[0.556296, 0.85]","[1.92185, 0.85]","[0.311773, 0.85]","[0.385531, 0.85]","[1.10147, 0.85]","[2.46152, 0.85]","[4.7139, 0.85]","[0.559692, 0.85]","[0.273237, 0.85]"
"[0.739327, 0.86]","[0.58623, 0.86]","[2.00059, 0.86]","[0.32131, 0.86]","[0.397235, 0.86]","[1.16614, 0.86]","[2.57212, 0.86]","[4.87602, 0.86]","[0.576197, 0.86]","[0.282693, 0.86]"
"[0.765967, 0.87]","[0.617775, 0.87]","[2.08242, 0.87]","[0.331041, 0.87]","[0.409178, 0.87]","[1.23462, 0.87]","[2.6875, 0.87]","[5.04324, 0.87]","[0.593017, 0.87]","[0.292375, 0.87]"
"[0.793704, 0.88]","[0.651031, 0.88]","[2.16747, 0.88]","[0.34097, 0.88]","[0.421363, 0.88]","[1.30717, 0.88]","[2.8079, 0.88]","[5.21578, 0.88]","[0.610158, 0.88]","[0.302288, 0.88]"
"[0.822608, 0.89]","[0.686106, 0.89]","[2.25591, 0.89]","[0.351101, 0.89]","[0.433795, 0.89]","[1.38408, 0.89]","[2.93358, 0.89]","[5.39384, 0.89]","[0.627623, 0.89]","[0.312436, 0.89]"
"[0.852753, 0.9]","[0.723117, 0.9]","[2.34788, 0.9]","[0.361436, 0.9]","[0.44648, 0.9]","[1.46565, 0.9]","[3.06481, 0.9]","[5.57764, 0.9]","[0.645418, 0.9]","[0.322825, 0.9]"
"[0.884222, 0.91]","[0.76219, 0.91]","[2.44355, 0.91]","[0.371979, 0.91]","[0.459421, 0.91]","[1.55224, 0.91]","[3.2019, 0.91]","[5.76742, 0.91]","[0.663549, 0.91]","[0.33346, 0.91]"
"[0.917107, 0.92]","[0.803464, 0.92]","[2.5431, 0.92]","[0.382734, 0.92]","[0.472623, 0.92]","[1.6442, 0.92]","[3.34516, 0.92]","[5.96342, 0.92]","[0.68202, 0.92]","[0.344346, 0.92]"
"[0.951508, 0.93]","[0.847087, 0.93]","[2.64673, 0.93]","[0.393705, 0.93]","[0.486093, 0.93]","[1.74194, 0.93]","[3.49492, 0.93]","[6.16592, 0.93]","[0.700837, 0.93]","[0.355489, 0.93]"
"[0.98754, 0.94]","[0.893223, 0.94]","[2.75463, 0.94]","[0.404896, 0.94]","[0.499835, 0.94]","[1.84591, 0.94]","[3.65156, 0.94]","[6.37517, 0.94]","[0.720006, 0.94]","[0.366896, 0.94]"
"[1.02533, 0.95]","[0.942051, 0.95]","[2.86701, 0.95]","[0.416311, 0.95]","[0.513856, 0.95]","[1.95661, 0.95]","[3.81546, 0.95]","[6.59149, 0.95]","[0.739533, 0.95]","[0.378572, 0.95]"
"[1.06502, 0.96]","[0.993769, 0.96]","[2.98411, 0.96]","[0.427954, 0.96]","[0.528161, 0.96]","[2.07386, 0.96]","[3.98704, 0.96]","[6.81516, 0.96]","[0.759424, 0.96]","[0.390526, 0.96]"
"[1.10677, 0.97]","[1.04859, 0.97]","[3.10616, 0.97]","[0.43983, 0.97]","[0.542757, 0.97]","[2.2005, 0.97]","[4.16676, 0.97]","[7.04654, 0.97]","[0.779686, 0.97]","[0.402765, 0.97]"
"[1.15079, 0.98]","[1.10677, 0.98]","[3.23344, 0.98]","[0.451944, 0.98]","[0.557652, 0.98]","[2.335, 0.98]","[4.35512, 0.98]","[7.28595, 0.98]","[0.800325, 0.98]","[0.415296, 0.98]"
"[1.19731, 0.99]","[1.16857, 0.99]","[3.36621, 0.99]","[0.464302, 0.99]","[0.572852, 0.99]","[2.47891, 0.99]","[4.55265, 0.99]","[7.53377, 0.99]","[0.821349, 0.99]","[0.428129, 0.99]"
"[1.24663, 1.0]","[1.2343, 1.0]","[3.50479, 1.0]","[0.476908, 1.0]","[0.588365, 1.0]","[2.63318, 1.0]","[4.75993, 1.0]","[7.79039, 1.0]","[0.842766, 1.0]","[0.441274, 1.0]"
